link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/675d62def39faeaa98b93d65/Terrains%20et%20Fermes/Sfax/Route_El_Afrane/_/,ارض للبيع في صفاقس طريق الافران,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675d5a10b7de28167ebe4893/Colocations/Sfax/Sakiet_Ezzit/Salon_bon_occasion_/,Salon bon occasion,1900,Colocations,À Vendre,000,1,1,Sfax
https://www.tayara.tn/item/6755986a8729cead59e73c9d/Terrains%20et%20Fermes/Sfax/ROUTE_SALTANIA/_12_11_50_Tel_27_919_666/,✅ بالتقسيط على 12 شهر ✅ بطريق السلطنية كلم 11 (تبعد 50 متر عن الطريق ) Tel☎️ : 27 919 666,28,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675d5506f39faeaa98b9340b/Bureaux%20et%20Plateaux/Sfax/Sfax_Ville/Bureau_louer/,Bureau à louer,N/A,Bureaux et Plateaux,À Louer,110,1,2,Sfax
https://www.tayara.tn/item/675d4a55f39faeaa98b92d48/Autres%20Immobiliers/Sfax/Sfax/Terrain_cltur_louer_/,Terrain clôturé à louer,N/A,Autres Immobiliers,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/668e64fe528ebd3c62151cb3/Terrains%20et%20Fermes/Sfax/Sfax/Terrain_vendre_792m_route_caid_mhamed_km_25/,Terrain à vendre 792m² à route caid mhamed km 2.5,435000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/6750882f0d8480a1e01cd068/Terrains%20et%20Fermes/Sfax/Route_MANZEL_CHAKER/Terrain_vendre_2257m_Route_Menzel_Chaker_km_9_droite_150m_de_la_route_principale_/,Terrain à vendre 2257m² à Route Menzel Chaker km 9 à droite 150m de la route principale,225000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675c0a70f39faeaa98b7ef3d/Terrains%20et%20Fermes/Sfax/Route_TANIOUR/Lots_a_vendre/,Lots a vendre,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675c0960f39faeaa98b7ed5f/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Sakiet_Ezzit/_/,بيع محل تجاري,N/A,"Magasins, Commerces et Locaux industriels",À Vendre,110,0,N/A,Sfax
https://www.tayara.tn/item/67477d2c0d8480a1e018faba/Appartements/Sfax/Route_GREMDA/appartement_s4/,appartement s+4,360,Appartements,À Vendre,171,3,4,Sfax
https://www.tayara.tn/item/675c0243f39faeaa98b7e080/Terrains%20et%20Fermes/Sfax/Route_GREMDA/900_M2_Gremda_bouzayen_km_8/,900 M2 Gremda bouzayen km 8,280000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675bfe45f39faeaa98b7da27/Maisons%20et%20Villas/Sfax/Route_TANIOUR/a_vendre_villa_route_teniour_km5_/,a vendre villa route teniour km5,800000,Maisons et Villas,À Vendre,1680,3,3,Sfax
https://www.tayara.tn/item/671a2315fadab5dc3ddc7b6c/Appartements/Sfax/Sfax/Un_Immeuble_haut_standing_R2_est_en_Vente_Sfax_/,Un Immeuble haut standing R+2 est en Vente à Sfax,950000,Appartements,À Vendre,600,1,1,Sfax
https://www.tayara.tn/item/67226a3d7453b1828b2fbb7b/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Route_de_GABES/Usine_louer_titre_foncier_Route_gabes_zone_industrielle_Thyna_devant_sige_AGIL/,"Usine à louer titre foncier à Route gabes, zone industrielle Thyna devant siège AGIL",5500,"Magasins, Commerces et Locaux industriels",À Louer,N/A,3,N/A,Sfax
https://www.tayara.tn/item/66928432b2871d2d8db4599b/Autres%20Immobiliers/Sfax/Sfax/_louer_local_mezzanine_180m_Av_5_aot_devant_htel_business/,À louer local mezzanine 180m² Av. 5 août devant hôtel business,1400,Autres Immobiliers,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66eec03d67b755ba922d1b6a/Terrains%20et%20Fermes/Sfax/Route_de_laroport/_vendre_terrain_1216m_cltur_Titre_foncier_Route_Matar_km_5zanket_masmoudi/,"À vendre terrain 1216m² clôturé Titre foncier à Route Matar km 5,zanket masmoudi",210000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66d1b00ae2f0c13af831f2e5/Appartements/Sfax/Sfax/_louer_S2_Nasria_devant_lyce_usage_bureautique_/,À louer S+2 Nasria devant lycée (à usage bureautique),700,Appartements,À Louer,80,1,2,Sfax
https://www.tayara.tn/item/674b19cc3c20a99fb55c404b/Terrains%20et%20Fermes/Sfax/Route_El_Ain/_vendre_terrain_660m_Route_El_Ain_km_12_200m_de_la_route_principale_/,À vendre terrain 660m² à Route El Ain km 12 à 200m de la route principale,82000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/670a75be4fca0ca2a8a623f9/Terrains%20et%20Fermes/Sfax/Route_MANZEL_CHAKER/terrain_vendre_21276m_Route_Manzel_Chaker_km_12_Route_goudronne_de_800m_de_la_route_principale/,terrain à vendre 21276m² à Route Manzel Chaker km 12 (زنقة المزغني) Route goudronnée de 800m de la route principale,250000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675bf623f39faeaa98b7ce45/Appartements/Sfax/Sfax_Ville/Appartement_louer/,Appartement à louer,500,Appartements,À Louer,40,1,2,Sfax
https://www.tayara.tn/item/675be627f39faeaa98b7b8f7/Maisons%20et%20Villas/Sfax/Route_GREMDA/petite_maison_/,petite maison,350,Maisons et Villas,À Louer,85,1,2,Sfax
https://www.tayara.tn/item/675be53bf39faeaa98b7b7e7/Maisons%20et%20Villas/Sfax/Route_GREMDA/Grande_maison_a_3/,Grande maison a 3,350,Maisons et Villas,À Louer,250,1,3,Sfax
https://www.tayara.tn/item/675b8a1e8729cead59ec3f0f/Appartements/Sfax/Sfax_Ville/Apparemment_sfax_2000/,Apparemment sfax 2000,75000,Appartements,À Vendre,80,1,3,Sfax
https://www.tayara.tn/item/675b50118729cead59ec2558/Appartements/Sfax/Route_El_Afrane/S2_Haut_Standing_2_places_parking/,S+2 Haut Standing + 2 places parking,260000,Appartements,sale,128.0,2.0,3.0,Sfax
https://www.tayara.tn/item/675b4147b5e4ab395e793a4f/Maisons%20et%20Villas/Sfax/Route_de_laroport/Maison_a_sfax_/,Maison a sfax,N/A,Maisons et Villas,À Vendre,N/A,2,3,Sfax
https://www.tayara.tn/item/675b35a2b5e4ab395e793087/Maisons%20et%20Villas/Sfax/Route_TANIOUR/_327_/,قطعة أرض تمسح 327,N/A,Maisons et Villas,À Vendre,327,1,4,Sfax
https://www.tayara.tn/item/675b30198729cead59ec09b7/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Sfax/A_louer_un_local_/,A louer un local,1000,"Magasins, Commerces et Locaux industriels",À Louer,260,2,2,Sfax
https://www.tayara.tn/item/66fd6843e8a80c9b9f73ea9d/Maisons%20et%20Villas/Sfax/Route_Mehdia/_vendre_appartement_S3_1er_tage_rsidence_prive_route_Mahdia_km_5_/,À vendre appartement S+3 1er étage résidence privée à route Mahdia km 5 (مركز بشة),230000,Maisons et Villas,À Vendre,22.5,1,4,Sfax
