gouvernement,category,num_bedrooms,num_bathrooms,surface_area,transaction_type,date,price
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,100
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,316000
"Ariana, Autres villes",Locations de vacances,3,80,,À Louer,7 février 2020,70
"Ariana, Autres villes",Appartements,2,1,900,À Louer,7 février 2020,80
"Ariana, Autres villes",Locations de vacances,1,1,900,À Louer,7 février 2020,70
"Ariana, Autres villes",Appartements,2,1,80,À Louer,7 février 2020,380
"Ariana, Autres villes",Locations de vacances,1,1,90,À Louer,7 février 2020,70
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,0,14,À Vendre,7 février 2020,30000
"Ariana, Ariana Ville",Appartements,2,2,113,À Vendre,7 février 2020,170
"Ariana, Autres villes",Locations de vacances,1,1,70,À Louer,7 février 2020,80
"Ariana, Ariana",Appartements,3,4,220,À Louer,7 février 2020,1950
"Ariana, Borj Louzir",Appartements,2,1,100,À Louer,7 février 2020,670
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",2,1,20,À Louer,7 février 2020,650
"Ariana, La Soukra",Appartements,3,220,,À Vendre,7 février 2020,580000
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",1,1,40,À Louer,7 février 2020,450
"Ariana, La Soukra",Appartements,2,1,1,À Louer,7 février 2020,2200
"Ariana, La Soukra",Maisons et Villas,4,2,1208,À Vendre,7 février 2020,700000
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,600
"Ariana, Chotrana",Maisons et Villas,5,3,220,À Louer,7 février 2020,2000
"Ariana, Jardins D'el Menzah",Appartements,3,2,138,À Vendre,7 février 2020,340000
"Ariana, Raoued",Maisons et Villas,2,1,150,À Vendre,7 février 2020,120000
"Ariana, Borj Louzir",Appartements,3,1,180,À Louer,7 février 2020,300
"Ariana, Ennasr",Appartements,4,180,,À Vendre,7 février 2020,285000
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1,13,,À Louer,7 février 2020,13
"Ariana, Ariana Ville",Appartements,3,1,250,À Louer,7 février 2020,500
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,350000
"Ariana, Ennasr",Appartements,2,1,80,À Vendre,7 février 2020,230000
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1,1,20,À Vendre,7 février 2020,55000
"Ariana, Ghazela",Appartements,2,1,80,À Louer,7 février 2020,400
"Ariana, Ennasr",Appartements,4,2,200,À Vendre,7 février 2020,440000
"Ariana, Autres villes",Maisons et Villas,4,2,130,À Vendre,7 février 2020,125000
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1,100,,À Vendre,7 février 2020,90000
"Ariana, Ghazela",Maisons et Villas,2,1,150,À Vendre,7 février 2020,170000
"Ariana, Autres villes",Appartements,4,1,160,À Vendre,7 février 2020,310000
"Ariana, Borj Louzir",Appartements,2,1,89,À Vendre,7 février 2020,136000
"Ariana, La Soukra",Appartements,2,1,94,À Vendre,7 février 2020,185000
"Ariana, Ghazela",Appartements,1,1,79,À Vendre,7 février 2020,146150
"Ariana, Ennasr",Maisons et Villas,5,2,200,À Louer,7 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,420000
"Ariana, La Soukra",Maisons et Villas,6,4,1200,À Vendre,7 février 2020,1150000
"Ariana, Ghazela",Maisons et Villas,4,2,320,À Vendre,7 février 2020,265000
"Ariana, Ennasr",Maisons et Villas,3,1,130,À Louer,7 février 2020,1250
"Ariana, Ennasr",Appartements,3,1,157,À Vendre,7 février 2020,340000
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,1,330,À Vendre,7 février 2020,1550000
"Ariana, Ennasr",Maisons et Villas,3,2,220,À Vendre,7 février 2020,490000
"Ariana, La Soukra",Appartements,2,1,105,À Vendre,7 février 2020,225000
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180
"Ariana, Chotrana",Maisons et Villas,5,2,400,À Vendre,7 février 2020,620000
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,1,65,À Louer,7 février 2020,4000
"Ariana, Ennasr",Appartements,3,1,130,À Vendre,7 février 2020,320000
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,90000
"Ariana, Autres villes",Appartements,3,2,1,À Louer,7 février 2020,0
"Ariana, Ariana Ville",Appartements,8,2,280,À Louer,7 février 2020,2000
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,558000
"Ariana, Ghazela",Appartements,1,1,90,À Louer,7 février 2020,175
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",2,2,430,À Louer,7 février 2020,3500
"Ariana, Raoued",Appartements,2,1,75,À Louer,7 février 2020,475
"Ariana, La Soukra",Maisons et Villas,6,4,500,À Vendre,7 février 2020,0
"Ariana, Autres villes",Maisons et Villas,5,2,500,À Louer,7 février 2020,1000
"Ariana, Ennasr",Appartements,2,1,80,À Louer,7 février 2020,90
"Ariana, Autres villes",Maisons et Villas,5,2,450,À Louer,7 février 2020,2500
"Ariana, La Soukra",Maisons et Villas,4,2,180,À Vendre,7 février 2020,750000
"Ariana, Ennasr","Magasins, Commerces et Locaux industriels",1,1,40,À Vendre,7 février 2020,0
"Ariana, La Soukra",Maisons et Villas,5,3,265,À Vendre,7 février 2020,470000
"Ariana, Autres villes",Appartements,2,60,,À Louer,7 février 2020,70
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",4,1,120,À Louer,7 février 2020,120
"Ariana, Ennasr",Appartements,2,1,100,À Louer,7 février 2020,1000
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",2,1,90,À Vendre,7 février 2020,0
"Ariana, Ettadhamen",Appartements,3,1,120,À Louer,7 février 2020,0
"Ariana, Ghazela",Appartements,2,1,80,À Louer,7 février 2020,420
"Ariana, Ennasr",Appartements,2,1,120,À Vendre,7 février 2020,270000
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,2,220,À Louer,7 février 2020,1000
"Ariana, La Soukra",Appartements,4,4,415,À Vendre,7 février 2020,970000
"Ariana, La Soukra",Maisons et Villas,3,195,,À Vendre,7 février 2020,275000
"Ariana, Mnihla","Magasins, Commerces et Locaux industriels",1,1,1,À Vendre,7 février 2020,0
"Ariana, Borj Louzir",Appartements,3,2,100,À Vendre,7 février 2020,170
"Ariana, Ennasr",Appartements,2,1,74,À Vendre,7 février 2020,180000
"Ariana, Ariana",Appartements,2,1,90,À Vendre,7 février 2020,205000
"Ariana, Mnihla","Magasins, Commerces et Locaux industriels",2,220,,À Louer,7 février 2020,750
"Ariana, Autres villes",Appartements,1,2,110,À Louer,7 février 2020,1200
"Ariana, Ennasr",Appartements,3,1,160,À Louer,7 février 2020,1200
"Ariana, Raoued",Maisons et Villas,2,1,120,À Louer,7 février 2020,330
"Ariana, Ghazela",Bureaux et Plateaux,20,3,360,À Louer,7 février 2020,4000
"Ariana, Jardins D'el Menzah",Appartements,3,2,151,À Vendre,7 février 2020,225000
"Ariana, La Soukra",Maisons et Villas,5,3,1000,À Vendre,7 février 2020,1000000
"Ariana, Ennasr",Appartements,4,2,145,À Vendre,7 février 2020,410000
"Ariana, Ennasr",Appartements,4,1,126,À Vendre,7 février 2020,250000
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,110000
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1,1,50,À Louer,7 février 2020,0
"Ariana, Autres villes",Appartements,2,1,75,À Louer,7 février 2020,90
"Ariana, La Soukra",Appartements,3,2,160,À Louer,7 février 2020,1360
"Ariana, Ennasr",Appartements,4,1,210,À Vendre,7 février 2020,0
"Ariana, Autres villes",Appartements,2,1,108,À Louer,7 février 2020,90
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",1,1,100,À Louer,7 février 2020,1800
"Ariana, Jardins D'el Menzah",Maisons et Villas,3,1,130,À Louer,7 février 2020,1200
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Autres villes",Appartements,5,1,150,À Vendre,7 février 2020,0
"Ariana, Chotrana",Maisons et Villas,1,1,150,À Vendre,7 février 2020,68000
"Ariana, Sidi Thabet",Maisons et Villas,5,1,1000,À Vendre,7 février 2020,400000
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,1,30,À Vendre,7 février 2020,10
"Ariana, Raoued",Maisons et Villas,1,1,244,À Vendre,7 février 2020,88000
"Ariana, Ariana Ville",Appartements,2,1,68,À Louer,7 février 2020,700
"Ariana, Raoued",Maisons et Villas,3,1,125,À Vendre,7 février 2020,140000
"Ariana, La Soukra",Appartements,4,2,230,À Louer,7 février 2020,1800
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Ghazela",Appartements,2,1,100,À Louer,7 février 2020,490
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",4,338,,À Vendre,7 février 2020,0
"Ariana, La Soukra",Maisons et Villas,4,320,,À Vendre,7 février 2020,950000
"Ariana, Ariana",Maisons et Villas,6,2,130,À Vendre,7 février 2020,210000
"Ariana, La Soukra",Maisons et Villas,4,380,,À Vendre,7 février 2020,750000
"Ariana, La Soukra",Maisons et Villas,4,300,,À Vendre,7 février 2020,660000
"Ariana, La Soukra",Maisons et Villas,7,4400,,À Vendre,7 février 2020,5800000
"Ariana, La Soukra",Appartements,4,170,,À Vendre,7 février 2020,260000
"Ariana, La Soukra",Maisons et Villas,6,1000,,À Vendre,7 février 2020,2700000
"Ariana, La Soukra",Maisons et Villas,8,1000,,À Vendre,7 février 2020,2200000
"Ariana, La Soukra",Maisons et Villas,5,5000,,À Vendre,7 février 2020,4500000
"Ariana, La Soukra",Appartements,2,149,,À Vendre,7 février 2020,325000
"Ariana, La Soukra",Maisons et Villas,4,550,,À Vendre,7 février 2020,1000000
"Ariana, La Soukra",Appartements,3,210,,À Vendre,7 février 2020,450000
"Ariana, La Soukra",Maisons et Villas,3,1000,,À Vendre,7 février 2020,1800000
"Ariana, La Soukra",Maisons et Villas,4,1150,,À Vendre,7 février 2020,1500000
"Ariana, La Soukra",Maisons et Villas,4,1046,,À Vendre,7 février 2020,1800000
"Ariana, La Soukra",Maisons et Villas,8,900,,À Vendre,7 février 2020,1250000
"Ariana, La Soukra",Maisons et Villas,4,670,,À Vendre,7 février 2020,850000
"Ariana, La Soukra",Maisons et Villas,5,700,,À Vendre,7 février 2020,1200000
"Ariana, La Soukra",Maisons et Villas,5,1940,,À Vendre,7 février 2020,1600000
"Ariana, La Soukra",Maisons et Villas,8,1000,,À Vendre,7 février 2020,2100000
"Ariana, La Soukra",Maisons et Villas,5,1000,,À Vendre,7 février 2020,1300000
"Ariana, La Soukra",Maisons et Villas,6,1000,,À Vendre,7 février 2020,1500000
"Ariana, La Soukra",Maisons et Villas,2,144,,À Vendre,7 février 2020,350000
"Ariana, Ariana Ville",Colocations,1,1,1,À Louer,7 février 2020,150
"Ariana, Autres villes",Appartements,1,1,64,À Vendre,7 février 2020,155
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,120000
"Ariana, Ariana",Appartements,3,2,110,À Louer,7 février 2020,1000
"Ariana, Ariana",Colocations,2,1,75,À Louer,7 février 2020,130
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,55000000
"Ariana, Autres villes",Appartements,2,1,100,À Louer,7 février 2020,0
"Ariana, Raoued",Maisons et Villas,3,1,200,À Vendre,7 février 2020,90
"Ariana, Ariana",Terrains et Fermes,,,,,7 février 2020,550
"Ariana, Ennasr",Locations de vacances,1,1,50,À Louer,7 février 2020,85
"Ariana, Jardins D'el Menzah",Appartements,2,1,105,À Vendre,7 février 2020,230000
"Ariana, Raoued",Maisons et Villas,1,1,138,À Vendre,7 février 2020,80000
"Ariana, La Soukra",Locations de vacances,5,2,250,À Louer,7 février 2020,300
"Ariana, Ennasr",Locations de vacances,2,1,70,À Louer,7 février 2020,90
"Ariana, Ghazela",Maisons et Villas,2,1,103,À Vendre,7 février 2020,115000
"Ariana, Ghazela",Maisons et Villas,4,320,,À Vendre,7 février 2020,265000
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,650
"Ariana, Borj Louzir",Terrains et Fermes,,,,,7 février 2020,708800
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,200000
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,2250000
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,260000
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,500000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,170000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,400000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,270000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,250000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,280000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,350000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,1100000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,180000
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,400000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,150000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,250000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,2400000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,220000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,250000
"Ariana, Borj Louzir",Appartements,3,1,163,À Vendre,7 février 2020,340000
"Ariana, Ghazela",Maisons et Villas,3,1,120,À Vendre,7 février 2020,400
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,650
"Ariana, Ghazela",Terrains et Fermes,,,,,7 février 2020,800000
"Ariana, Ariana",Terrains et Fermes,,,,,7 février 2020,900000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,4000000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,200000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Ghazela",Maisons et Villas,8,3,280,À Vendre,7 février 2020,145000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Jardins D'el Menzah",Maisons et Villas,3,2,188,À Vendre,7 février 2020,257000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Ariana",Appartements,3,-1,-1,À Vendre,7 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Ghazela",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,0
"Ariana, Ennasr",Appartements,1,1,65,À Louer,7 février 2020,800
"Ariana, La Soukra",Appartements,1,1,83,À Louer,7 février 2020,950
"Ariana, Chotrana",Appartements,3,1,76,À Vendre,7 février 2020,115000
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,700
"Ariana, Ariana",Appartements,2,1,80,À Louer,7 février 2020,0
"Ariana, Autres villes",Maisons et Villas,4,1,1,À Louer,7 février 2020,650
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Autres villes",Maisons et Villas,650,650,650,À Vendre,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,90000
"Ariana, La Soukra",Terrains et Fermes,,,,,6 février 2020,320000
"Ariana, Jardins D'el Menzah",Appartements,2,2,120,À Louer,6 février 2020,1200
"Ariana, Borj Louzir",Appartements,1,1,50,À Louer,6 février 2020,300
"Ariana, Jardins D'el Menzah",Appartements,2,2,130,À Vendre,6 février 2020,28000
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,75000
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,0,488,À Louer,6 février 2020,0
"Ariana, Autres villes",Maisons et Villas,2,1,125,À Vendre,6 février 2020,78
"Ariana, Ariana Ville",Appartements,2,1,110,À Louer,6 février 2020,900
"Ariana, Autres villes",Bureaux et Plateaux,4,2,400,À Louer,6 février 2020,3000
"Ariana, Ghazela",Bureaux et Plateaux,1,3760,,À Louer,6 février 2020,130
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,0,100,À Louer,6 février 2020,650
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,85000
"Ariana, Ariana",Colocations,3,1,1,À Louer,6 février 2020,150
"Ariana, La Soukra",Appartements,4,3,370,À Vendre,6 février 2020,1100000
"Ariana, La Soukra",Appartements,3,1,500,À Louer,6 février 2020,1360
"Ariana, Autres villes",Maisons et Villas,2,1,200,À Louer,6 février 2020,130
"Ariana, La Soukra",Appartements,3,2,143,À Vendre,6 février 2020,360000
"Ariana, Ennasr",Appartements,4,2,200,À Vendre,6 février 2020,360000
"Ariana, Autres villes",Appartements,4,2,230,À Vendre,6 février 2020,0
"Ariana, Ennasr",Appartements,3,1,150,À Vendre,6 février 2020,350000
"Ariana, Ennasr",Appartements,2,1,130,À Vendre,6 février 2020,300000
"Ariana, Autres villes",Appartements,4,2,120,À Vendre,6 février 2020,200
"Ariana, Jardins D'el Menzah",Appartements,1,1,56,À Vendre,6 février 2020,158000
"Ariana, Ennasr",Appartements,2,2,136,À Vendre,6 février 2020,300000
"Ariana, Jardins D'el Menzah",Appartements,3,2,140,À Vendre,6 février 2020,275000
"Ariana, Autres villes",Appartements,1,1,27,À Louer,6 février 2020,70
"Ariana, Ariana","Magasins, Commerces et Locaux industriels",1,1,36,À Vendre,6 février 2020,119000
"Ariana, Raoued",Appartements,3,1,110,À Vendre,6 février 2020,150000
"Ariana, Jardins D'el Menzah",Appartements,2,1,100,À Vendre,6 février 2020,230000
"Ariana, Ennasr",Appartements,2,1,120,À Vendre,6 février 2020,240000
"Ariana, Ariana",Terrains et Fermes,,,,,6 février 2020,75000
"Ariana, Jardins D'el Menzah",Appartements,3,1,165,À Vendre,6 février 2020,1050
"Ariana, Ariana",Maisons et Villas,1,1,1,À Vendre,6 février 2020,75000
"Ariana, Jardins D'el Menzah",Appartements,1,1,70,À Louer,6 février 2020,830
"Ariana, La Soukra",Appartements,1,1,10000,À Louer,6 février 2020,350
"Ariana, Ennasr",Appartements,2,1,126,À Vendre,6 février 2020,330000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Ennasr",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Chotrana",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Ghazela",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Ariana",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, La Soukra",Maisons et Villas,5,3,327,À Vendre,6 février 2020,880000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, La Soukra",Maisons et Villas,4,5,434,À Vendre,6 février 2020,1800000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, La Soukra",Appartements,3,3,278,À Vendre,6 février 2020,750000
"Ariana, Ariana Ville",Maisons et Villas,5,3,210,À Vendre,6 février 2020,320000
"Ariana, La Soukra",Appartements,2,2,186,À Vendre,6 février 2020,470000
"Ariana, La Soukra",Appartements,3,3,188,À Vendre,6 février 2020,650000
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,-1,69,À Louer,6 février 2020,0
"Ariana, La Soukra",Appartements,4,3,370,À Vendre,6 février 2020,1100000
"Ariana, Ennasr",Appartements,2,2,120,À Louer,6 février 2020,100
"Ariana, Ennasr",Appartements,1,1,87,À Vendre,6 février 2020,243000
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,97126380
"Ariana, Mnihla",Appartements,2,1,1,À Vendre,6 février 2020,0
"Ariana, La Soukra",Appartements,3,3,165,À Vendre,6 février 2020,650000
"Ariana, La Soukra",Appartements,3,195,,À Vendre,6 février 2020,390000
"Ariana, Raoued",Appartements,2,1,98,À Louer,6 février 2020,550
"Ariana, Borj Louzir",Appartements,2,1,60,À Louer,6 février 2020,380
"Ariana, Jardins D'el Menzah",Appartements,4,2,130,À Vendre,6 février 2020,285000
"Ariana, Ariana",Terrains et Fermes,,,,,6 février 2020,27400
"Ariana, Ghazela",Appartements,3,1,85,À Louer,6 février 2020,150
"Ariana, Ennasr","Magasins, Commerces et Locaux industriels",-1,-1,420,À Vendre,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,400000
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,220,,À Louer,6 février 2020,1100
"Ariana, Autres villes",Maisons et Villas,4,1,1,À Vendre,6 février 2020,120000
"Ariana, Ennasr",Appartements,1,1,60,À Vendre,6 février 2020,180000
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, La Soukra",Appartements,2,1,130,À Louer,6 février 2020,750
"Ariana, La Soukra",Appartements,2,1,120,À Louer,6 février 2020,700
"Ariana, Autres villes",Appartements,4,2,110,À Louer,6 février 2020,830
"Ariana, Autres villes",Appartements,6,2,160,À Vendre,6 février 2020,270000
"Ariana, Autres villes",Appartements,3,2,140,À Louer,6 février 2020,1400
"Ariana, Ghazela",Maisons et Villas,6,2,2,À Vendre,6 février 2020,0
"Ariana, Ghazela",Maisons et Villas,2,1,130,À Louer,6 février 2020,650
"Ariana, Ennasr",Maisons et Villas,4,1,110,À Louer,6 février 2020,1300
"Ariana, Autres villes",Appartements,2,1,90,À Louer,6 février 2020,90
"Ariana, Ghazela",Maisons et Villas,7,2,500,À Vendre,6 février 2020,0
"Ariana, Ennasr",Appartements,1,1,75,À Vendre,6 février 2020,190000
"Ariana, La Soukra",Appartements,2,2,100,À Louer,6 février 2020,850
"Ariana, Autres villes",Appartements,4,1,100,À Vendre,6 février 2020,400000
"Ariana, Autres villes",Terrains et Fermes,,,,,6 février 2020,750
"Ariana, Borj Louzir",Terrains et Fermes,,,,,6 février 2020,100000
"Ariana, La Soukra",Appartements,1,1,80,À Louer,6 février 2020,120
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1,120,,À Louer,6 février 2020,0
