link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/6728cbe5981bc29b64446f88/Terrains%20et%20Fermes/Nabeul/Hammamet/A_VENDRE_un_Terrain_prs_Golf_Hammamet_/,A VENDRE un Terrain prés Golf Hammamet 𝟮𝟵𝟮𝟱𝟲𝟮𝟭𝟲📞,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/675d619bf39faeaa98b93c78/Appartements/Nabeul/Hammamet/appartement_vendre_yasmine_hammamet/,appartement à vendre à yasmine hammamet,N/A,Appartements,À Vendre,300,1,2,Nabeul
https://www.tayara.tn/item/673de6ab0d8480a1e0130d7c/Appartements/Nabeul/Mrezga/A_Vendre_un_S1_en_cours_de_construction_dans_une_rsidence_avec_piscine_AFH_Mrezga_Nabeul/,"A Vendre un S+1, en cours de construction, dans une résidence avec piscine à AFH Mrezga Nabeul.",277000,Appartements,À Vendre,,1,1,Nabeul
https://www.tayara.tn/item/675d603ab7de28167ebe4ca6/Maisons%20et%20Villas/Nabeul/Hammamet_Centre/A_vendre_villa_s4_de_234m_Hammamet_/,A vendre villa s4 de 234m² à Hammamet,575000,Maisons et Villas,À Vendre,234,3,4,Nabeul
https://www.tayara.tn/item/675d600bb7de28167ebe4c87/Maisons%20et%20Villas/Nabeul/Hammamet/duplex_s4_de_500m_hammamet_sud_99202001/,duplex s+4 de 500m à hammamet sud 📞99202001📞,235000,Maisons et Villas,À Vendre,500,2,3,Nabeul
https://www.tayara.tn/item/6748a7613c20a99fb55b53a4/Maisons%20et%20Villas/Nabeul/Hammamet_Nord/VILLA_SALVADOR_/,"VILLA "" SALVADOR """,990000,Maisons et Villas,À Vendre,320,4,4,Nabeul
https://www.tayara.tn/item/674a15700d8480a1e01a44ce/Maisons%20et%20Villas/Nabeul/Yasmine_Hammamet/Villa_CAMLIA_/,"Villa "" CAMÉLIA """,720000,Maisons et Villas,À Vendre,620,4,4,Nabeul
https://www.tayara.tn/item/674a1905041535433b41391c/Maisons%20et%20Villas/Nabeul/Yasmine_Hammamet/Villa_MADAGASCAR_/,"Villa "" MADAGASCAR """,1250000,Maisons et Villas,N/A,550,4,5,Nabeul
https://www.tayara.tn/item/675d5ccfb7de28167ebe4a5a/Maisons%20et%20Villas/Nabeul/Hammamet_Nord/a_vendre_villa_hammamet_nord/,a vendre villa hammamet nord,910,Maisons et Villas,À Vendre,535,2,4,Nabeul
https://www.tayara.tn/item/675d5beff39faeaa98b938a4/Terrains%20et%20Fermes/Nabeul/Hammamet/A_vendre_terrain_de_940m2_Hammamet_zone_craxy/,A vendre terrain de 940m2 à Hammamet zone craxy,282000,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/675d5b0fb7de28167ebe4940/Terrains%20et%20Fermes/Nabeul/Hammamet/A_vendre_terrain_de_1237m_vue_mer_Hammamet_zone_craxy/,A vendre terrain de 1237m² vue mer à Hammamet zone craxy,520000,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/6748a5183c20a99fb55b51aa/Maisons%20et%20Villas/Nabeul/Hammamet/Villa_NUSA_PENIDA_/,"Villa "" NUSA PENIDA """,1250000,Maisons et Villas,À Vendre,490,4,4,Nabeul
https://www.tayara.tn/item/6744c76e0d8480a1e0173842/Maisons%20et%20Villas/Nabeul/Hammamet_Nord/VILLA_LUCKY_/,"VILLA "" LUCKY """,1100000,Maisons et Villas,À Vendre,347,4,4,Nabeul
https://www.tayara.tn/item/6626950def74c89d585333c3/Maisons%20et%20Villas/Nabeul/Hammamet/Une_villa_A_vendre_de_plainpied_S4_HAMMAMET_/,Une villa A vendre de plain-pied S4 à HAMMAMET,650000,Maisons et Villas,À Vendre,220,2,4,Nabeul
https://www.tayara.tn/item/675cae8ef39faeaa98b8f5bb/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Nabeul/Soliman/A_louer_local_industriel_commercial_chowroom_ext_/,A louer local industriel commercial chowroom ext .....,N/A,"Magasins, Commerces et Locaux industriels",À Louer,720,5,2,Nabeul
https://www.tayara.tn/item/6725e9eb72ad847c9c34234a/Appartements/Nabeul/Hammamet_Nord/S1_AVEC_JARDIN_location_annuelle_/,S+1 AVEC JARDIN location annuelle,850,Appartements,À Louer,95,1,1,Nabeul
https://www.tayara.tn/item/6748a8e03c20a99fb55b54f7/Maisons%20et%20Villas/Nabeul/Hammamet/Villa_APOLLO_/,"Villa "" APOLLO """,1050000,Maisons et Villas,À Vendre,800,4,4,Nabeul
https://www.tayara.tn/item/6747079e3c20a99fb55a3d51/Maisons%20et%20Villas/Nabeul/Hammamet/Villa_Le_Petit_Prince_/,"Villa "" Le Petit Prince """,300000,Maisons et Villas,À Vendre,500,1,2,Nabeul
https://www.tayara.tn/item/675c6f0ff39faeaa98b89090/Appartements/Nabeul/Mrezga/_Vendre_Appartement_S2_avec_Balcon_Hammamet_el_mrezgua/,"À Vendre : Appartement S+2 avec Balcon, à Hammamet el mrezgua",330000,Appartements,À Vendre,101,1,3,Nabeul
https://www.tayara.tn/item/675c6bfaf39faeaa98b88bea/Appartements/Nabeul/Klibia/studio_s0_par_mois/,studio s+0 par mois,160,Appartements,À Louer,50,1,1,Nabeul
https://www.tayara.tn/item/675181ba0d8480a1e01d27b7/Appartements/Nabeul/Hammamet/A_louer_lanne_Hammamet_Barreket_Sahel_dans_un_nouveau_quartier_rsidentiel_et_calme_un_appartement_S3_avec_une_belle_terrasse_et_abri_de_voiture_/,A louer à l’année à Hammamet Barreket Sahel dans un nouveau quartier résidentiel et calme un appartement S+3 avec une belle terrasse et abri de voiture,1100,Appartements,À Louer,140,2,3,Nabeul
https://www.tayara.tn/item/67404c0e3c20a99fb5562cad/Maisons%20et%20Villas/Nabeul/Hammamet/A_vendre_Hammamet_3_km_de_la_plage_une_villa_S4_de_plainpied_/,"A vendre à Hammamet, 3 km de la plage ,une villa S+4 de plain-pied",830000,Maisons et Villas,À Vendre,500,4,2,Nabeul
https://www.tayara.tn/item/673de4f20d8480a1e0130b8a/Appartements/Nabeul/Mrezga/Un_S2_en_cours_de_construction_Vendre_dans_une_rsidence_avec_piscine_AFH_Mrezga_Nabeul/,Un S+2 en cours de construction à Vendre dans une résidence avec piscine à AFH Mrezga Nabeul,400000,Appartements,À Vendre,,2,1,Nabeul
https://www.tayara.tn/item/675c5224f39faeaa98b86452/Terrains%20et%20Fermes/Nabeul/Hammamet/A_VENDRE_un_terrain_21256909/,A VENDRE un terrain 21.256.909,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/675c5149f39faeaa98b8628d/Terrains%20et%20Fermes/Nabeul/Hammamet/1000_m2_vue_sur_mer_Hammamet_Nord_/,1000 m2 vue sur mer Hammamet Nord,225000,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
